Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,wrench.force.x,wrench.force.y,wrench.force.z,wrench.torque.x,wrench.torque.y,wrench.torque.z
1772794251.0777578,4281,1772794251,77596453,,-2.0,0.0,19.0,198.0,10.0,-9.0
1772794251.0787442,4282,1772794251,78589751,,-4.0,0.0,10.0,143.0,4.0,-11.0
1772794251.0796852,4283,1772794251,79586705,,-4.0,0.0,10.0,143.0,4.0,-11.0
1772794251.0806735,4284,1772794251,80586940,,-6.0,1.0,2.0,135.0,-7.0,-11.0
1772794251.0816681,4285,1772794251,81586801,,-6.0,1.0,2.0,135.0,-7.0,-11.0
1772794251.082662,4286,1772794251,82586619,,-6.0,1.0,2.0,135.0,-7.0,-11.0
1772794251.0837119,4287,1772794251,83620652,,-4.0,1.0,2.0,92.0,16.0,-8.0
1772794251.084692,4288,1772794251,84599122,,-4.0,1.0,2.0,92.0,16.0,-8.0
1772794251.085665,4289,1772794251,85593793,,-2.0,0.0,12.0,77.0,33.0,0.0
1772794251.0867033,4290,1772794251,86607486,,-3.0,2.0,9.0,71.0,24.0,8.0
1772794251.0877385,4291,1772794251,87606468,,-3.0,2.0,9.0,71.0,24.0,8.0
1772794251.0886984,4292,1772794251,88594311,,-4.0,1.0,3.0,24.0,28.0,3.0
1772794251.0897005,4293,1772794251,89588524,,-4.0,0.0,4.0,17.0,32.0,-3.0
1772794251.0907116,4294,1772794251,90587654,,-4.0,0.0,4.0,17.0,32.0,-3.0
1772794251.0916524,4295,1772794251,91586870,,-4.0,0.0,4.0,17.0,32.0,-3.0
1772794251.0926464,4296,1772794251,92586942,,-6.0,0.0,7.0,-9.0,21.0,1.0
1772794251.093708,4297,1772794251,93586805,,-3.0,-2.0,9.0,-8.0,25.0,7.0
1772794251.0946765,4298,1772794251,94587331,,-3.0,-2.0,9.0,-8.0,25.0,7.0
1772794251.0957067,4299,1772794251,95596458,,-3.0,-2.0,9.0,-8.0,25.0,7.0
1772794251.09664,4300,1772794251,96591090,,-1.0,-3.0,9.0,8.0,28.0,2.0
1772794251.0976782,4301,1772794251,97585657,,-1.0,-3.0,9.0,8.0,28.0,2.0
1772794251.0986283,4302,1772794251,98584982,,0.0,-2.0,12.0,36.0,10.0,2.0
1772794251.099669,4303,1772794251,99584765,,0.0,-2.0,12.0,36.0,10.0,2.0
1772794251.1006367,4304,1772794251,100585246,,1.0,-1.0,-1.0,7.0,21.0,1.0
1772794251.101682,4305,1772794251,101587609,,1.0,-1.0,-1.0,7.0,21.0,1.0
