method,angle_deg,angle_rad,n,mean,std,median,q1,q3,min,max,iqr,k_theta_local_nm_per_rad,zero_bias_nm,k_theta_eff_nm_per_rad,J_m4,height_m,radius_m,G_eff_pa,G_eff_kpa
ecoflex_torsion_test,0,0.0,9996,0.018841382706928925,0.004868226150999653,0.01893491124260355,0.015384615384615385,0.022485207100591716,0.001183431952662722,0.0378698224852071,0.00710059171597633,nan,0.018841382706928925,0.38370012899157924,6.135923151542566e-07,0.045,0.025,28140.029426998743,28.140029426998744
ecoflex_torsion_test,45,0.7853981633974483,10010,0.3256581288533951,0.01328560539412772,0.3207100591715976,0.31597633136094677,0.3349112426035503,0.30177514792899407,0.3763313609467456,0.018934911242603547,0.41464080772060175,0.018841382706928925,0.38370012899157924,6.135923151542566e-07,0.045,0.025,28140.029426998743,28.140029426998744
ecoflex_torsion_test,90,1.5707963267948966,10010,0.5693426100526692,0.011904271019577991,0.5680473372781065,0.5597633136094674,0.5798816568047337,0.5349112426035503,0.6,0.020118343195266286,0.3624547628108949,0.018841382706928925,0.38370012899157924,6.135923151542566e-07,0.045,0.025,28140.029426998743,28.140029426998744
ecoflex_torsion_test,135,2.356194490192345,10010,0.8923489528223256,0.025819905227495853,0.893491124260355,0.8710059171597633,0.9053254437869822,0.8366863905325443,0.9763313609467456,0.03431952662721893,0.3787246581454657,0.018841382706928925,0.38370012899157924,6.135923151542566e-07,0.045,0.025,28140.029426998743,28.140029426998744
ecoflex_torsion_test,180,3.141592653589793,10010,1.2719362294510224,0.05646578511923933,1.2591715976331361,1.2284023668639052,1.2875739644970414,1.2011834319526626,1.4485207100591715,0.059171597633136175,0.4048698764295948,0.018841382706928925,0.38370012899157924,6.135923151542566e-07,0.045,0.025,28140.029426998743,28.140029426998744
