Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,wrench.force.x,wrench.force.y,wrench.force.z,wrench.torque.x,wrench.torque.y,wrench.torque.z
1772794195.2414155,42269,1772794195,241250536,,-1.0,-1.0,-4.0,6.0,3.0,2.0
1772794195.242561,42270,1772794195,242263333,,0.0,0.0,1.0,14.0,3.0,3.0
1772794195.2435045,42271,1772794195,243266293,,-1.0,-1.0,-1.0,23.0,-8.0,6.0
1772794195.2445657,42272,1772794195,244266685,,-1.0,-1.0,-1.0,23.0,-8.0,6.0
1772794195.2456617,42273,1772794195,245260272,,-1.0,-1.0,-1.0,23.0,-8.0,6.0
1772794195.246598,42274,1772794195,246265729,,-2.0,0.0,2.0,7.0,-16.0,1.0
1772794195.247746,42275,1772794195,247261735,,1.0,0.0,10.0,15.0,3.0,1.0
1772794195.2486608,42276,1772794195,248259489,,1.0,0.0,10.0,15.0,3.0,1.0
1772794195.2497382,42277,1772794195,249262452,,1.0,0.0,10.0,15.0,3.0,1.0
1772794195.25067,42278,1772794195,250259297,,1.0,0.0,10.0,15.0,3.0,1.0
1772794195.25177,42279,1772794195,251263321,,1.0,0.0,8.0,14.0,-1.0,0.0
1772794195.2526665,42280,1772794195,252263610,,0.0,-1.0,7.0,19.0,-7.0,-1.0
1772794195.2536106,42281,1772794195,253261341,,0.0,-1.0,7.0,19.0,-7.0,-1.0
1772794195.2549684,42282,1772794195,254262931,,0.0,-1.0,3.0,-8.0,5.0,-3.0
1772794195.2558525,42283,1772794195,255263425,,-1.0,-1.0,2.0,18.0,-7.0,1.0
1772794195.256786,42284,1772794195,256261709,,-1.0,-1.0,2.0,18.0,-7.0,1.0
1772794195.2575438,42285,1772794195,257261332,,-1.0,-1.0,2.0,18.0,-7.0,1.0
1772794195.2587357,42286,1772794195,258263152,,0.0,1.0,2.0,11.0,-7.0,1.0
1772794195.259438,42287,1772794195,259264271,,0.0,2.0,4.0,17.0,-5.0,-1.0
1772794195.260584,42288,1772794195,260259819,,0.0,2.0,4.0,17.0,-5.0,-1.0
1772794195.2629945,42289,1772794195,261259703,,0.0,2.0,4.0,17.0,-5.0,-1.0
1772794195.2634034,42290,1772794195,262263508,,-2.0,-1.0,7.0,22.0,-7.0,-2.0
1772794195.2637453,42291,1772794195,263261146,,-1.0,0.0,2.0,3.0,-4.0,3.0
1772794195.2646961,42292,1772794195,264259128,,-1.0,0.0,2.0,3.0,-4.0,3.0
1772794195.2655709,42293,1772794195,265260933,,-1.0,0.0,2.0,3.0,-4.0,3.0
1772794195.2668276,42294,1772794195,266263002,,1.0,0.0,9.0,10.0,2.0,3.0
1772794195.2676802,42295,1772794195,267260350,,1.0,0.0,9.0,10.0,2.0,3.0
1772794195.268629,42296,1772794195,268264155,,-1.0,-2.0,2.0,6.0,6.0,0.0
1772794195.269673,42297,1772794195,269260398,,-1.0,-2.0,2.0,6.0,6.0,0.0
1772794195.27076,42298,1772794195,270266000,,0.0,-1.0,-2.0,-3.0,21.0,0.0
1772794195.2715652,42299,1772794195,271264112,,-1.0,0.0,-1.0,4.0,22.0,2.0
1772794195.272558,42300,1772794195,272261140,,-1.0,0.0,-1.0,4.0,22.0,2.0
1772794195.2735589,42301,1772794195,273260980,,-1.0,0.0,-1.0,4.0,22.0,2.0
1772794195.2745788,42302,1772794195,274264229,,-1.0,-1.0,8.0,14.0,-7.0,1.0
1772794195.2755587,42303,1772794195,275264601,,-1.0,-1.0,1.0,9.0,0.0,-7.0
1772794195.2765877,42304,1772794195,276261470,,-1.0,-1.0,1.0,9.0,0.0,-7.0
1772794195.2775173,42305,1772794195,277260372,,-1.0,-1.0,1.0,9.0,0.0,-7.0
1772794195.2785919,42306,1772794195,278264058,,-3.0,0.0,3.0,-11.0,-7.0,-7.0
1772794195.27957,42307,1772794195,279261144,,-3.0,0.0,3.0,-11.0,-7.0,-7.0
1772794195.2805777,42308,1772794195,280263484,,1.0,-1.0,0.0,-20.0,7.0,3.0
1772794195.281525,42309,1772794195,281259713,,1.0,-1.0,0.0,-20.0,7.0,3.0
1772794195.2825704,42310,1772794195,282263602,,-1.0,-2.0,-1.0,-31.0,7.0,-1.0
1772794195.2834847,42311,1772794195,283262035,,-1.0,-2.0,-1.0,-31.0,7.0,-1.0
1772794195.2845936,42312,1772794195,284268319,,1.0,-3.0,6.0,-3.0,11.0,-1.0
1772794195.2855747,42313,1772794195,285261120,,1.0,-3.0,6.0,-3.0,11.0,-1.0
1772794195.2866054,42314,1772794195,286265509,,-2.0,-3.0,5.0,5.0,-11.0,-7.0
1772794195.287558,42315,1772794195,287264125,,-2.0,-1.0,-1.0,-11.0,1.0,-7.0
1772794195.2886398,42316,1772794195,288260753,,-2.0,-1.0,-1.0,-11.0,1.0,-7.0
1772794195.289534,42317,1772794195,289260767,,-2.0,-1.0,-1.0,-11.0,1.0,-7.0
1772794195.2904394,42318,1772794195,290263498,,1.0,-2.0,-5.0,-16.0,18.0,-6.0
1772794195.2917216,42319,1772794195,291265042,,2.0,0.0,6.0,-16.0,-1.0,-6.0
1772794195.2926104,42320,1772794195,292261743,,2.0,0.0,6.0,-16.0,-1.0,-6.0
1772794195.2934222,42321,1772794195,293261687,,2.0,0.0,6.0,-16.0,-1.0,-6.0
1772794195.2946076,42322,1772794195,294262155,,2.0,0.0,6.0,-16.0,-1.0,-6.0
1772794195.295445,42323,1772794195,295263995,,1.0,0.0,8.0,-18.0,2.0,-1.0
1772794195.2964416,42324,1772794195,296263769,,-1.0,0.0,4.0,11.0,-4.0,0.0
1772794195.297523,42325,1772794195,297259908,,-1.0,0.0,4.0,11.0,-4.0,0.0
1772794195.2984319,42326,1772794195,298264488,,-3.0,-1.0,-6.0,-4.0,12.0,-4.0
1772794195.2994132,42327,1772794195,299263419,,1.0,0.0,2.0,20.0,-6.0,2.0
1772794195.300507,42328,1772794195,300259521,,1.0,0.0,2.0,20.0,-6.0,2.0
1772794195.3014076,42329,1772794195,301259393,,1.0,0.0,2.0,20.0,-6.0,2.0
1772794195.3024154,42330,1772794195,302262254,,3.0,1.0,6.0,14.0,10.0,8.0
1772794195.3035676,42331,1772794195,303263003,,3.0,0.0,2.0,9.0,8.0,4.0
1772794195.3044336,42332,1772794195,304260328,,3.0,0.0,2.0,9.0,8.0,4.0
1772794195.3054202,42333,1772794195,305261014,,3.0,0.0,2.0,9.0,8.0,4.0
1772794195.3066084,42334,1772794195,306264159,,-1.0,-1.0,7.0,23.0,-3.0,1.0
1772794195.3074338,42335,1772794195,307263119,,0.0,-1.0,9.0,5.0,9.0,0.0
1772794195.308433,42336,1772794195,308261032,,0.0,-1.0,9.0,5.0,9.0,0.0
1772794195.3095462,42337,1772794195,309260302,,0.0,-1.0,9.0,5.0,9.0,0.0
1772794195.3104281,42338,1772794195,310260272,,0.0,-1.0,9.0,5.0,9.0,0.0
1772794195.3114326,42339,1772794195,311263848,,0.0,-3.0,8.0,-7.0,20.0,-2.0
1772794195.3128736,42340,1772794195,312264039,,2.0,-2.0,11.0,-1.0,21.0,0.0
1772794195.3134313,42341,1772794195,313261327,,2.0,-2.0,11.0,-1.0,21.0,0.0
1772794195.314417,42342,1772794195,314263494,,4.0,0.0,13.0,12.0,13.0,2.0
1772794195.315557,42343,1772794195,315264048,,1.0,0.0,8.0,11.0,1.0,-5.0
1772794195.3165176,42344,1772794195,316259343,,1.0,0.0,8.0,11.0,1.0,-5.0
1772794195.317392,42345,1772794195,317259797,,1.0,0.0,8.0,11.0,1.0,-5.0
1772794195.3185596,42346,1772794195,318264509,,0.0,1.0,6.0,17.0,7.0,2.0
1772794195.3195925,42347,1772794195,319268834,,1.0,0.0,1.0,10.0,26.0,-4.0
1772794195.320432,42348,1772794195,320260862,,1.0,0.0,1.0,10.0,26.0,-4.0
1772794195.3215597,42349,1772794195,321260783,,1.0,0.0,1.0,10.0,26.0,-4.0
1772794195.3224242,42350,1772794195,322264822,,1.0,-2.0,3.0,-2.0,23.0,-4.0
1772794195.3234234,42351,1772794195,323263710,,0.0,0.0,4.0,10.0,5.0,0.0
1772794195.3245869,42352,1772794195,324260286,,0.0,0.0,4.0,10.0,5.0,0.0
1772794195.3254187,42353,1772794195,325260315,,0.0,0.0,4.0,10.0,5.0,0.0
1772794195.3264332,42354,1772794195,326264287,,2.0,1.0,4.0,12.0,12.0,-2.0
1772794195.32741,42355,1772794195,327261046,,2.0,1.0,4.0,12.0,12.0,-2.0
1772794195.328443,42356,1772794195,328264323,,0.0,2.0,4.0,-1.0,4.0,0.0
1772794195.3294103,42357,1772794195,329261325,,0.0,2.0,4.0,-1.0,4.0,0.0
1772794195.3305502,42358,1772794195,330263049,,1.0,-1.0,2.0,-2.0,22.0,-5.0
1772794195.3314044,42359,1772794195,331263086,,1.0,-1.0,2.0,-2.0,22.0,-5.0
1772794195.3324072,42360,1772794195,332263131,,1.0,0.0,4.0,-8.0,12.0,1.0
1772794195.3335524,42361,1772794195,333260535,,1.0,0.0,4.0,-8.0,12.0,1.0
1772794195.334417,42362,1772794195,334263110,,1.0,-2.0,-4.0,-26.0,21.0,-3.0
1772794195.335405,42363,1772794195,335263233,,1.0,-2.0,-4.0,-26.0,21.0,-3.0
1772794195.3365574,42364,1772794195,336263523,,1.0,0.0,1.0,-9.0,11.0,-2.0
1772794195.337418,42365,1772794195,337261146,,1.0,0.0,1.0,-9.0,11.0,-2.0
1772794195.3384213,42366,1772794195,338263914,,1.0,1.0,1.0,2.0,15.0,-2.0
1772794195.339563,42367,1772794195,339261891,,1.0,1.0,1.0,2.0,15.0,-2.0
1772794195.340434,42368,1772794195,340260643,,1.0,1.0,1.0,2.0,15.0,-2.0
1772794195.34141,42369,1772794195,341255859,,-1.0,0.0,2.0,3.0,-3.0,-8.0
1772794195.3425786,42370,1772794195,342263368,,0.0,-1.0,9.0,6.0,2.0,-6.0
1772794195.343417,42371,1772794195,343260863,,0.0,-1.0,9.0,6.0,2.0,-6.0
1772794195.3444262,42372,1772794195,344260519,,1.0,0.0,-3.0,-2.0,9.0,-3.0
1772794195.3453827,42373,1772794195,345250474,,1.0,0.0,-3.0,-2.0,9.0,-3.0
1772794195.3464015,42374,1772794195,346265113,,-1.0,-2.0,8.0,11.0,7.0,2.0
1772794195.3474064,42375,1772794195,347260112,,-1.0,-2.0,8.0,11.0,7.0,2.0
1772794195.348387,42376,1772794195,348264932,,-1.0,0.0,12.0,9.0,-10.0,-2.0
1772794195.349401,42377,1772794195,349270539,,1.0,1.0,10.0,21.0,7.0,-5.0
1772794195.350412,42378,1772794195,350257702,,1.0,1.0,10.0,21.0,7.0,-5.0
1772794195.351391,42379,1772794195,351258387,,1.0,1.0,10.0,21.0,7.0,-5.0
1772794195.3524,42380,1772794195,352257968,,0.0,0.0,4.0,23.0,-4.0,-2.0
1772794195.353383,42381,1772794195,353259289,,-1.0,0.0,-1.0,-15.0,-3.0,2.0
1772794195.35442,42382,1772794195,354258713,,-1.0,0.0,-1.0,-15.0,-3.0,2.0
1772794195.355421,42383,1772794195,355256733,,-1.0,0.0,-1.0,-15.0,-3.0,2.0
1772794195.3564022,42384,1772794195,356262340,,-1.0,0.0,-1.0,-15.0,-3.0,2.0
1772794195.3574097,42385,1772794195,357258227,,0.0,1.0,4.0,19.0,-7.0,4.0
1772794195.3585303,42386,1772794195,358260761,,-1.0,1.0,6.0,0.0,1.0,-1.0
1772794195.3593955,42387,1772794195,359260394,,-1.0,1.0,6.0,0.0,1.0,-1.0
1772794195.3604198,42388,1772794195,360263715,,0.0,-1.0,7.0,8.0,1.0,-13.0
1772794195.361525,42389,1772794195,361249725,,0.0,-1.0,9.0,8.0,4.0,-6.0
1772794195.362404,42390,1772794195,362259914,,0.0,-1.0,9.0,8.0,4.0,-6.0
1772794195.3633833,42391,1772794195,363259306,,0.0,-1.0,9.0,8.0,4.0,-6.0
1772794195.3644433,42392,1772794195,364247178,,1.0,-1.0,6.0,9.0,11.0,-5.0
1772794195.3654015,42393,1772794195,365262786,,1.0,-2.0,4.0,-4.0,14.0,-2.0
1772794195.3663993,42394,1772794195,366257732,,1.0,-2.0,4.0,-4.0,14.0,-2.0
1772794195.3675027,42395,1772794195,367257975,,1.0,-2.0,4.0,-4.0,14.0,-2.0
1772794195.3684165,42396,1772794195,368260972,,0.0,-1.0,5.0,-11.0,21.0,-2.0
1772794195.3693645,42397,1772794195,369258000,,0.0,-1.0,5.0,-11.0,21.0,-2.0
1772794195.370397,42398,1772794195,370260212,,2.0,-3.0,8.0,-9.0,13.0,0.0
1772794195.371425,42399,1772794195,371258560,,2.0,-3.0,8.0,-9.0,13.0,0.0
1772794195.3723981,42400,1772794195,372258310,,2.0,-3.0,8.0,-9.0,13.0,0.0
1772794195.373418,42401,1772794195,373261293,,3.0,-4.0,16.0,12.0,6.0,2.0
1772794195.3744054,42402,1772794195,374261217,,1.0,-2.0,14.0,4.0,12.0,-2.0
1772794195.375434,42403,1772794195,375259741,,1.0,-2.0,14.0,4.0,12.0,-2.0
1772794195.3764048,42404,1772794195,376262691,,1.0,-1.0,3.0,-15.0,14.0,1.0
1772794195.377426,42405,1772794195,377257517,,1.0,-1.0,3.0,-15.0,14.0,1.0
1772794195.3784304,42406,1772794195,378265859,,0.0,1.0,2.0,11.0,12.0,-1.0
1772794195.3795207,42407,1772794195,379262388,,0.0,1.0,2.0,11.0,12.0,-1.0
1772794195.3803766,42408,1772794195,380258505,,0.0,0.0,5.0,14.0,1.0,-3.0
1772794195.3813813,42409,1772794195,381258790,,0.0,0.0,5.0,14.0,1.0,-3.0
1772794195.3823798,42410,1772794195,382262126,,2.0,-1.0,1.0,-20.0,15.0,0.0
1772794195.3834014,42411,1772794195,383259394,,2.0,-1.0,1.0,-20.0,15.0,0.0
1772794195.3844032,42412,1772794195,384258351,,2.0,-1.0,4.0,-23.0,14.0,1.0
1772794195.3854072,42413,1772794195,385257963,,2.0,-1.0,4.0,-23.0,14.0,1.0
1772794195.3864038,42414,1772794195,386261411,,1.0,2.0,5.0,7.0,-9.0,0.0
1772794195.38739,42415,1772794195,387256998,,1.0,2.0,5.0,7.0,-9.0,0.0
1772794195.388398,42416,1772794195,388258308,,1.0,2.0,5.0,7.0,-9.0,0.0
1772794195.389401,42417,1772794195,389260345,,1.0,0.0,4.0,-4.0,13.0,-2.0
1772794195.3904016,42418,1772794195,390258804,,1.0,0.0,1.0,21.0,8.0,-1.0
1772794195.39143,42419,1772794195,391261162,,1.0,0.0,1.0,21.0,8.0,-1.0
1772794195.3925216,42420,1772794195,392260890,,3.0,1.0,13.0,20.0,24.0,1.0
1772794195.3933928,42421,1772794195,393256291,,3.0,1.0,13.0,20.0,24.0,1.0
1772794195.3943834,42422,1772794195,394257847,,2.0,1.0,2.0,8.0,27.0,5.0
1772794195.3954012,42423,1772794195,395262855,,2.0,1.0,2.0,8.0,27.0,5.0
1772794195.3963923,42424,1772794195,396261758,,1.0,0.0,1.0,13.0,-1.0,0.0
1772794195.397358,42425,1772794195,397256069,,1.0,0.0,1.0,13.0,-1.0,0.0
1772794195.398381,42426,1772794195,398260712,,0.0,1.0,-1.0,-8.0,5.0,0.0
1772794195.399395,42427,1772794195,399258495,,0.0,1.0,-1.0,-8.0,5.0,0.0
1772794195.4004967,42428,1772794195,400351752,,-2.0,-1.0,5.0,-6.0,4.0,-3.0
1772794195.4013946,42429,1772794195,401272629,,-2.0,-1.0,5.0,-6.0,4.0,-3.0
1772794195.4023821,42430,1772794195,402261140,,-2.0,-1.0,5.0,-6.0,4.0,-3.0
