Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1772794195.0328434,3,1772794195,29093771,,2,/record_1772794195012516645,Subscribing to /optoforce_node/OptoForceWrench_filtered2,/tmp/binarydeb/ros-noetic-rosbag-1.16.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1772794195.0328574,4,1772794195,29916219,,2,/record_1772794195012516645,Subscribing to /optoforce_node/OptoForceWrench_raw,/tmp/binarydeb/ros-noetic-rosbag-1.16.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1772794195.0328767,5,1772794195,31114723,,2,/record_1772794195012516645,Subscribing to /optoforce_node/OptoForceWrench,/tmp/binarydeb/ros-noetic-rosbag-1.16.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
