timestamp,method,trial,peak_variables,Fx,Fy,Fz,F_total,Tx,Ty,Tz,peak_signal
2026-03-07 20:46:04,z_0,1,force_z,-1.7486662714878483,-0.33698399326032014,64.8,64.82446599811489,13.731481481481481,5.107142857142857,0.18579881656804734,64.8
2026-03-07 20:46:04,z_0,2,force_z,-1.4522821576763485,-0.4773939904521202,63.9,63.91828399204429,13.99074074074074,5.064285714285714,0.17514792899408285,63.9
2026-03-07 20:46:04,z_0,3,force_z,-0.8298755186721991,-0.39314799213704016,49.9,49.908448770926675,5.092592592592593,1.25,0.015384615384615385,49.9
2026-03-07 20:46:04,z_0,4,force_z,-0.11855364552459988,-0.6739679865206403,49.0,49.00477821410604,3.259259259259259,1.6785714285714286,0.047337278106508875,49.0
2026-03-07 20:46:04,z_0,5,force_z,-0.3260225251926497,0.05616399887672002,48.3,48.30113295857254,-0.39814814814814814,-1.8857142857142857,0.001183431952662722,48.3
2026-03-07 20:46:04,z_0,6,force_z,-0.14819205690574985,-0.6178039876439203,48.1,48.10419568658101,3.175925925925926,1.4,0.03550295857988166,48.1
2026-03-07 20:46:04,z_0,7,force_z,-0.23710729104919975,-0.3650659926986802,47.9,47.90197796590965,4.175925925925926,1.9428571428571428,0.015384615384615385,47.9
2026-03-07 20:46:04,z_0,8,force_z,0.23710729104919975,-0.4212299915754002,47.3,47.30246985700927,-1.7962962962962963,-0.9857142857142858,-0.06035502958579882,47.3
2026-03-07 20:46:04,z_0,9,force_z,-0.20746887966804978,-0.30890199382196015,46.7,46.701482458031435,2.638888888888889,0.1,0.03076923076923077,46.7
2026-03-07 20:46:04,z_0,10,force_z,0.11855364552459988,-1.0951979780960404,45.9,45.91321719916927,3.8981481481481484,0.5357142857142857,0.020118343195266272,45.9
2026-03-07 20:47:07,z_0,1,force_z,-1.5115589804386484,0.4212299915754002,50.0,50.02461639290348,1.3888888888888888,-2.942857142857143,-0.036686390532544376,50.0
2026-03-07 20:47:07,z_0,2,force_z,-1.6597510373443982,0.11232799775344005,48.9,48.92828825010175,1.1666666666666667,-2.1357142857142857,-0.046153846153846156,48.9
2026-03-07 20:47:07,z_0,3,force_z,0.05927682276229994,0.2808199943836001,47.8,47.80086164088428,3.175925925925926,4.321428571428571,0.040236686390532544,47.8
2026-03-07 20:47:07,z_0,4,force_z,-1.1262596324836989,-1.0109519797809605,47.5,47.52410424895124,2.712962962962963,1.042857142857143,0.04378698224852071,47.5
2026-03-07 20:47:07,z_0,5,force_z,-0.6224066390041494,-0.2808199943836001,44.9,44.90519179219171,4.055555555555555,3.7214285714285715,0.040236686390532544,44.9
2026-03-07 20:47:07,z_0,6,force_z,-0.23710729104919975,-1.3198539736029204,44.8,44.82006508673435,4.203703703703703,2.4357142857142855,0.0485207100591716,44.8
2026-03-07 20:47:07,z_0,7,force_z,-0.6520450503852994,-0.5616399887672002,42.6,42.608691627703315,1.7222222222222223,-0.65,0.002366863905325444,42.6
2026-03-07 20:47:07,z_0,8,force_z,-1.0966212211025488,-0.4212299915754002,39.8,39.8173330700133,3.75,-0.8071428571428572,-0.0035502958579881655,39.8
2026-03-07 20:47:07,z_0,9,force_z,-1.5708358032009484,-0.16849199663016007,33.3,33.337455131931506,0.7870370370370371,-2.1214285714285714,-0.001183431952662722,33.3
2026-03-07 20:47:07,z_0,10,force_z,-1.1855364552459988,-0.2246559955068801,32.8,32.822187114862324,-0.6296296296296297,-2.192857142857143,-0.01301775147928994,32.8
2026-03-07 20:48:17,z_0,1,force_z,-1.0966212211025488,0.4773939904521202,61.8,61.811572404564274,10.175925925925926,5.785714285714286,0.07692307692307693,61.8
2026-03-07 20:48:17,z_0,2,force_z,-0.2963841138114997,-0.5335579893288402,60.1,60.10309915196467,8.537037037037036,1.6357142857142857,0.01775147928994083,60.1
2026-03-07 20:48:17,z_0,3,force_z,5.453467694131594,0.30890199382196015,56.7,56.96249406699749,14.24074074074074,12.707142857142857,-0.010650887573964497,56.7
2026-03-07 20:48:17,z_0,4,force_z,-0.41493775933609955,-0.30890199382196015,49.7,49.702692017494485,4.527777777777778,0.9857142857142858,-0.023668639053254437,49.7
2026-03-07 20:48:17,z_0,5,force_z,-2.045050385299348,-0.02808199943836001,49.4,49.44232012837894,1.8796296296296295,-1.0857142857142856,-0.014201183431952662,49.4
2026-03-07 20:48:17,z_0,6,force_z,0.0,-0.6178039876439203,48.8,48.803910517161924,10.194444444444445,2.65,0.020118343195266272,48.8
