timestamp,method_name,method,angle,surface,peak_variables,variable,n,mean,std,median,q1,q3,min,max,iqr
2026-03-07 20:48:17,z_0_Plexi,z,0,Plexi,force_z,Fx,10,0.053349140486069854,1.908483567183794,-0.3556609365737996,-0.7483698873740368,0.04445761707172495,-2.045050385299348,5.453467694131594,0.7928275044457617
2026-03-07 20:48:17,z_0_Plexi,z,0,Plexi,force_z,Fy,10,-0.2555461948890761,0.3724333819840737,-0.3510249929795002,-0.5195169896096602,-0.09126649817467003,-0.7020499859590003,0.4773939904521202,0.42825049143499017
2026-03-07 20:48:17,z_0_Plexi,z,0,Plexi,force_z,Fz,10,51.45,5.526165035537756,49.099999999999994,47.725,54.95,46.0,61.8,7.225000000000001
2026-03-07 20:48:17,z_0_Plexi,z,0,Plexi,force_z,F_total,10,51.48475105111341,5.5507274607582096,49.12311532277043,47.73094865876491,55.14754355462174,46.00171821883872,61.811572404564274,7.416594895856832
2026-03-07 20:48:17,z_0_Plexi,z,0,Plexi,force_z,Tx,10,6.203703703703704,4.3557606559167565,5.902777777777778,2.539351851851852,9.766203703703702,-0.1388888888888889,14.24074074074074,7.22685185185185
2026-03-07 20:48:17,z_0_Plexi,z,0,Plexi,force_z,Ty,10,2.7214285714285715,3.749266594948937,1.592857142857143,0.8089285714285714,2.539285714285714,-1.0857142857142856,12.707142857142857,1.7303571428571427
2026-03-07 20:48:17,z_0_Plexi,z,0,Plexi,force_z,Tz,10,0.019171597633136094,0.03004985179100425,0.01893491124260355,-0.006804733727810651,0.03431952662721893,-0.023668639053254437,0.07692307692307693,0.041124260355029585
2026-03-07 20:48:17,z_0_Plexi,z,0,Plexi,force_z,peak_signal,10,51.45,5.526165035537756,49.099999999999994,47.725,54.95,46.0,61.8,7.225000000000001
2026-03-07 20:53:26,yaw_0_Plexi,yaw,0,Plexi,torque_z,Fx,10,0.8654416123295793,0.15216950388848174,0.9336099585062241,0.7409602845287492,1.0002963841138115,0.5927682276229994,1.0373443983402488,0.2593360995850623
2026-03-07 20:53:26,yaw_0_Plexi,yaw,0,Plexi,torque_z,Fy,10,0.4493119910137602,0.10125108889255796,0.4212299915754002,0.3720864925582702,0.49845549003089024,0.30890199382196015,0.6458859870822803,0.12636899747262004
