Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1772794350.138745,3,1772794350,136307839,,2,/record_1772794350115667028,Subscribing to /optoforce_node/OptoForceWrench_filtered2,/tmp/binarydeb/ros-noetic-rosbag-1.16.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1772794350.1387608,4,1772794350,137299859,,2,/record_1772794350115667028,Subscribing to /optoforce_node/OptoForceWrench_raw,/tmp/binarydeb/ros-noetic-rosbag-1.16.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1772794350.1387749,5,1772794350,137946498,,2,/record_1772794350115667028,Subscribing to /optoforce_node/OptoForceWrench,/tmp/binarydeb/ros-noetic-rosbag-1.16.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
